Country,Trade Value 1000USD,Quantity,Population,Reigon
Mexico,900355.61,906433,127575529,North America
Moldova,5109.42,317845,2664974,Europe
Montenegro,1983.17,406409,622028,Europe
Morocco,24463.15,170732,36471766,Africa
Mozambique,1630.64,308799,30366043,Africa
Myanmar,3607.91,179817,54045422,Asia
Namibia,3274.11,163664,2494524,Africa
Nepal,2277.69,86441.1,28608715,Asia
Netherlands,99758.73,177848,17344874,Europe
New Zealand,14082.02,456205,4979200,Oceania
Nicaragua,2743.04,189515,6545503,North America
Niger,40.51,575045,23310719,Africa
Nigeria,1848.71,77255.2,200963603,Africa
North Macedonia,4300.85,136895,2076694,Europe
Norway,10583.4,1884510,5347896,Europe
Oman,16844.73,204370,4974992,Asia
Pakistan,2271.59,190190,216565317,Asia
Panama,28557.7,128735,4246440,South America
Paraguay,6681.42,135847,7044639,South America
Peru,37999.7,654895,32510462,South America
Philippines,12016.65,42677.2,108116622,Asia
Poland,247119.15,222004,37965475,Europe
Portugal,45433.64,706160,10286263,Europe
Qatar,5098.51,129057,2832071,Asia
Romania,118049.48,215389,19371648,Europe
Russian Federation,182471,98376.7,144406261,Asia
Rwanda,724.16,110530,12626938,Africa
Samoa,142.63,93453.9,197093,Oceania
Sao Tome and Principe,64.95,82887,215048,Africa
Saudi Arabia,65053.72,316588,34268529,Asia
Senegal,408.08,52064.4,16296362,Africa
"Serbia, FR(Serbia/Montenegro)",17564.45,57890.3,6945235,Europe
Seychelles,523.01,107314,97625,Africa
Singapore,29234.68,77049,5703569,Asia
Slovak Republic,147831.23,86557.9,5454147,Europe
Slovenia,15792.62,55357.8,2088385,Europe
South Africa,67272.65,318978,58558267,Africa
Spain,209061.37,36084.4,47134837,Europe
Sri Lanka,6900.53,56002,21803000,Asia
St. Lucia,292.22,28918.9,182795,South America
St. Vincent and the Grenadines,110.27,84013.2,110593,South America
Suriname,63.2,54455.8,581363,South America
Sweden,114881.05,83964,10278887,Europe
Switzerland,20186.07,38440.8,8575280,Europe
Tajikistan,172.46,16407.7,9321023,Asia
Tanzania,2895.76,24433,58005461,Africa
Thailand,159458.99,42971.3,69625581,Asia
Togo,22.64,9998,8082359,Africa
Trinidad and Tobago,1577.58,68343.6,1394969,South America
Tunisia,17020.72,7090.44,11694721,Africa
Turkey,180006.71,6964.1,83429607,Europe
Uganda,1332.16,15022,44269587,Africa
Ukraine,39343.66,10261.5,44386203,Europe
United Arab Emirates,161315.72,14118.3,9770526,Asia
United Kingdom,345407.87,8657,66836327,Europe
Uruguay,5764.2,2605.6,3461731,South America
Uzbekistan,9297.57,2610.36,33580350,Asia
Vietnam,39195.06,4226.8,96462108,Asia
Yemen,40.67,48198,29161922,Asia
Zambia,1302.62,3198.13,17861034,Africa
Zimbabwe,1783.21,1421.6,14645473,Africa
